Ik |tone_cr_pwr|om te |seal_action|Het|tone_action|van|seal_cr_pwr|Ik bezegel|timecell|van|seal_func|Met de|tone_name|toon van|tone_func|Ik word gegidst door|guiding_power|Ik ben een Galactische Activerings Portaal .. treedt mij binnen|Kasteel:|Rood Oostelijk Kasteel van Keren|Wit Noordelijk Kasteel van Kruizen|Blauw Westelijk Kasteel van Branden|Geel Zuidelijk Kasteel van Geven|Groen Centraal Kasteel van Betovering|Wavespell:
1|1|1|1|RODE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| mijn eigen kracht verdubbeld|1| |1|1|1||||
2|1|1|1|WITTE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van tijdloosheid|| |2|2|2||||
3|1|1|1|BLAUWE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van volbrenging|| |3|3|3||||
4|1|1|1|GEEL|4|ZELF-BESTAAND|Definieer|Meten|Vorm|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van universeel vuur|| |4|4|4||||
5|1|1|2|RODE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van ruimte|| |5|1|1||||
6|1|1|2|WITTE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| mijn eigen kracht verdubbeld|| |1|2|2||||
7|1|1|2|BLAUWE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van zelf-generatie|| |2|3|3||||
8|1|1|2|GELE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van vrije wil|| |3|4|4||||
9|1|1|3|RODE|9|SOLAIRE|Pulseer|Realiseren|Intentie|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van levenskracht|| |4|1|1||||
10|1|1|3|WITTE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van eindeloosheid||Ik ben een polaire kin.  Ik extendeer het WITTE galactische spectrum|5|2|2||||
11|1|1|3|BLAUWE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|11|Aap|Spelen|Illusie|Magie|het process| mijn eigen kracht verdubbeld|| |1|3|3||||
12|1|1|3|GELE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van bloei|| |2|4|4||||
13|1|1|4|RODE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van navigatie || |3|1|1||||
14|1|2|4|WITTE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| mijn eigen kracht verdubbeld|| |4|2|2||||
15|1|2|4|BLAUWE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van volbrenging|| |5|3|3||||
16|1|2|4|GELE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van universeel vuur|| |1|4|4||||
17|1|2|5|RODE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van ruimte|| |2|1|1||||
18|1|2|5|WITTE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van dood|| |3|2|2||||
19|1|2|5|BLAUWE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| mijn eigen kracht verdubbeld|| |4|3|3||||
20|1|2|5|GELE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van vrije wil|1| |5|4|4||||
21|1|2|6|RODE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van levenskracht|| |1|1|1||||
22|1|2|6|WITTE|9|SOLAIRE|Pulseer|Realiseren|Intentie|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van eindeloosheid|1| |2|2|2||||
23|1|2|6|BLAUWE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van magie|| |3|3|3||||
24|1|2|6|GEEL|11|SPECTRAAL|Los Op|Vrijlaten|Bevrijding|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| mijn eigen kracht verdubbeld|| |4|4|4||||
25|1|2|7|RODE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van navigatie|| |5|1|1||||
26|1|2|7|WITTE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van hart|| |1|2|2||||
27|1|3|7|BLAUWE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|7|Hand|Weten|Genezen|Volbrenging|de opslag| mijn eigen kracht verdubbeld|| |2|3|3||||
28|1|3|7|GELE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van universeel vuur|| |3|4|4||||
29|1|3|8|RODE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van ruimte|| |4|1|1||||
30|1|3|8|WITTE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van dood||Ik ben een polaire kin. Ik converteer het WITTE galactische spectrum|5|2|2||||
